id,premises,question_id,conclusion,label
RelNeg-OWA-D1-1089,"The cat needs the mouse.
The cow does not see the cat.
The mouse is big.
If something chases the cat then the cat is not nice.
If something needs the mouse then the mouse is not nice.
If something chases the cow and it is not nice then it sees the mouse.",Q7,The mouse is not young.,Uncertain
RelNeg-OWA-D3-1385,"The dog is green.
The mouse visits the dog.
If something visits the dog then the dog is young.
If something is red and young then it does not need the mouse.
If something eats the mouse then the mouse is not cold.
If something needs the dog then it is green.
If something eats the mouse then the mouse needs the dog.
If something needs the mouse then the mouse needs the dog.
If something is green and not young then it eats the mouse.
If something is green then it eats the mouse.",Q4,The dog does not eat the mouse.,False
AttNeg-OWA-D3-250,"Fiona is green.
If Fiona is kind then Fiona is young.
All big people are not green.
If someone is big and not red then they are green.
All green people are rough.
Rough people are kind.
If someone is young then they are kind.
Cold people are kind.
If someone is red and young then they are not big.",Q2,Fiona is not green.,False
RelNeg-OWA-D3-1219,"The bear is green.
The bear is young.
The bear sees the rabbit.
The lion is cold.
The lion is young.
The lion needs the bear.
The lion needs the rabbit.
The rabbit needs the bear.
The rabbit needs the lion.
The rabbit does not see the bear.
The rabbit visits the bear.
The rabbit visits the lion.
If someone visits the bear and the bear is not red then the bear sees the rabbit.
If the lion is cold and the lion visits the bear then the lion sees the bear.
If someone visits the bear and they need the lion then the lion sees the bear.
If the bear sees the lion then the bear is cold.
If someone is cold then they need the rabbit.
If someone needs the lion and the lion sees the bear then the bear sees the lion.",Q16,The bear visits the lion.,Uncertain
RelNeg-OWA-D1-794,"The bald eagle is not blue.
The bald eagle is cold.
The bald eagle does not need the tiger.
The bald eagle sees the cat.
The bald eagle does not see the tiger.
The cat is nice.
The cat visits the tiger.
The tiger is blue.
The tiger needs the cat.
The tiger sees the cat.
If the bald eagle does not need the tiger then the tiger does not see the bald eagle.",Q5,The bald eagle does not need the cat.,Uncertain
AttNeg-OWA-D3-1513,"Anne is furry.
Anne is not kind.
Anne is red.
Erin is cold.
Erin is nice.
Erin is not quiet.
Erin is red.
If Anne is red and Anne is not kind then Anne is quiet.
Quiet, furry people are not nice.
If Anne is quiet and Anne is not nice then Anne is cold.",Q2,Anne is kind.,False
RelNoneg-OWA-D0-4014,"The mouse is rough.
If something is kind then it is green.
All rough, red things are kind.
All round, red things are rough.",Q1,The mouse is rough.,True
AttNonegNatLang-OWA-279,"Round, nice Bob felt as blue and big as he had ever been.
The young person who is always feeling cold is named Charlie.
That guy Eric sure is nice.
That guy Fred sure is nice.
People here that are both big and kind while being cold are always red.
A person feeling blue because of their big size will always be cold.
You must be aware of big, red, young people being rough.
Do not fear big cold people for they are often kind.
People that are rough and red in the face, are usually big in size.",Q5,Bob is kind.,True
RelNoneg-OWA-D3-367,"The cat eats the dog.
The cat is nice.
The cat is rough.
The dog eats the mouse.
The dog needs the cat.
The dog sees the cat.
The dog sees the mouse.
The mouse eats the dog.
The mouse is rough.
The mouse is young.
The mouse needs the dog.
The mouse sees the dog.
If something needs the mouse and the mouse sees the dog then the mouse is red.
If something sees the cat then the cat sees the dog.
If something is young then it sees the dog.
If something needs the cat then the cat needs the mouse.
If something is rough and it eats the mouse then it sees the cat.
If something is red then it needs the cat.
If the dog is young and the dog is red then the dog is rough.
If something eats the dog and it is nice then it sees the dog.",Q6,The mouse is not red.,False
RelNeg-OWA-D3-190,"The cow is red.
Kind, round things are not red.
All young, red things are not kind.
All red, rough things are round.
All rough things are round.
If the cow is young and the cow is kind then the cow is round.
If something is red then it is rough.
If something is round and young then it is rough.
If something is rough then it is young.",Q10,The cow needs the cow.,Uncertain
